ID,Lat,Long,Alt,Bar,Temp,Hum
86,.948277,.001339,85.000,-33.944,45.450,.917
87,1.003085,.000005,86.000,-34.000,85.680,.550
88,1.057883,.001677,87.000,-33.930,79.600,.279
89,1.112508,.006349,88.000,-33.733,77.910,.202
90,1.166795,.014008,89.000,-33.412,51.250,.528
91,1.220580,.024631,90.000,-32.965,63.640,.985
92,1.273702,.038186,91.000,-32.396,50.540,.458
93,1.326002,.054631,92.000,-31.706,82.900,.660
94,1.377322,.073918,93.000,-30.895,54.510,.623
95,1.427507,.095988,94.000,-29.969,91.800,.479
96,1.476408,.120776,95.000,-28.927,54.190,.629
97,1.523876,.148206,96.000,-27.775,42.300,.298
98,1.569771,.178196,97.000,-26.516,90.890,.327
99,1.613952,.210657,98.000,-25.152,68.900,.488
100,1.656288,.245490,99.000,-23.689,73.100,.592
101,1.696652,.282591,100.000,-22.131,72.300,.603
102,1.734922,.321848,101.000,-20.482,69.630,.331
103,1.770982,.363143,102.000,-18.748,42.210,.738
104,1.804726,.406353,103.000,-16.933,42.930,.965
105,1.836050,.451347,104.000,-15.043,54.300,.968
106,1.864862,.497990,105.000,-13.084,43.150,.525
107,1.891074,.546142,106.000,-11.062,62.800,.693
108,1.914608,.595658,107.000,-8.982,55.650,.342
109,1.935393,.646390,108.000,-6.852,52.610,.185
110,1.953366,.698184,109.000,-4.676,34.920,.474
111,1.968474,.750886,110.000,-2.463,97.900,.396
112,1.980671,.804336,111.000,-.218,98.310,.667
113,1.989920,.858374,112.000,2.052,69.270,.360
114,1.996194,.912839,113.000,4.339,42.140,.398
115,1.999474,.967565,114.000,6.638,54.800,.989
116,1.999749,1.022388,115.000,8.940,52.900,.935
117,1.997020,1.077144,116.000,11.240,92.650,.695
118,1.991294,1.131669,117.000,13.530,88.330,.475
119,1.982588,1.185797,118.000,15.803,71.300,.717
120,1.970929,1.239367,119.000,18.053,59.900,.335
121,1.956352,1.292218,120.000,20.273,73.930,.271
122,1.938900,1.344191,121.000,22.456,33.860,.373
123,1.918626,1.395128,122.000,24.595,32.300,.112
124,1.895591,1.444879,123.000,26.685,43.770,.247
125,1.869864,1.493292,124.000,28.718,96.590,.412
126,1.841523,1.540222,125.000,30.689,70.840,.721
127,1.810652,1.585529,126.000,32.592,65.940,.135
128,1.777344,1.629075,127.000,34.421,61.840,.200
129,1.741701,1.670731,128.000,36.171,38.490,.492
130,1.703827,1.710371,129.000,37.836,59.000,.466
131,1.663839,1.747876,130.000,39.411,75.660,.928
132,1.621855,1.783133,131.000,40.892,82.320,.725
133,1.578002,1.816036,132.000,42.273,91.370,.875
134,1.532411,1.846486,133.000,43.552,62.920,.798
135,1.485221,1.874392,134.000,44.724,88.780,.449
136,1.436572,1.899669,135.000,45.786,96.800,.404
137,1.386611,1.922243,136.000,46.734,77.230,.669
138,1.335487,1.942045,137.000,47.566,42.160,.524
139,1.283356,1.959015,138.000,48.279,62.710,.486
140,1.230372,1.973103,139.000,48.870,46.830,.290
141,1.176697,1.984265,140.000,49.339,90.900,.112
142,1.122490,1.992470,141.000,49.684,62.700,.198
143,1.067915,1.997691,142.000,49.903,80.260,.838
144,1.013135,1.999914,143.000,49.996,64.910,.663
145,.958317,1.999131,144.000,49.963,46.140,.843
146,.903624,1.995345,145.000,49.804,65.690,.810
147,.849220,1.988567,146.000,49.520,96.730,.140
148,.795269,1.978818,147.000,49.110,66.700,.119
149,.741934,1.966127,148.000,48.577,80.900,.748
150,.689375,1.950532,149.000,47.922,55.840,.958
151,.637749,1.932081,150.000,47.147,85.610,.915
152,.587212,1.910827,151.000,46.255,54.140,.341
153,.537916,1.886836,152.000,45.247,46.180,.200
154,.490008,1.860179,153.000,44.128,46.870,.130
155,.443634,1.830937,154.000,42.899,62.210,.605
156,.398932,1.799198,155.000,41.566,85.430,.234
157,.356036,1.765056,156.000,40.132,45.910,.000
158,.315076,1.728615,157.000,38.602,90.120,.950
159,.276175,1.689983,158.000,36.979,84.310,.797
160,.239449,1.649278,159.000,35.270,99.680,.610
161,.205009,1.606621,160.000,33.478,66.820,.231
162,.172959,1.562141,161.000,31.610,76.390,.850
163,.143394,1.515972,162.000,29.671,82.430,.623
164,.116405,1.468251,163.000,27.667,96.200,.480
165,.092071,1.419123,164.000,25.603,56.270,.514
166,.070466,1.368735,165.000,23.487,71.900,.904
167,.051655,1.317239,166.000,21.324,48.890,.963
168,.035694,1.264790,167.000,19.121,87.160,.313
169,.022632,1.211545,168.000,16.885,98.400,.866
170,.012507,1.157663,169.000,14.622,89.540,.430
171,.005351,1.103308,170.000,12.339,98.440,.241
172,.001184,1.048642,171.000,10.043,95.440,.460
173,.000019,.993831,172.000,7.741,72.710,.968
174,.001860,.939037,173.000,5.440,33.110,.224
175,.006701,.884427,174.000,3.146,73.280,.373
176,.014528,.830165,175.000,.867,47.360,.992
177,.025316,.776412,176.000,-1.391,51.550,.987
178,.039034,.723332,177.000,-3.620,79.800,.131
179,.055641,.671084,178.000,-5.814,81.680,.881
180,.075086,.619824,179.000,-7.967,47.370,.498
181,.097311,.569706,180.000,-10.072,52.490,.277
182,.122249,.520882,181.000,-12.123,37.150,.584
183,.149826,.473498,182.000,-14.113,61.690,.343
184,.179958,.427697,183.000,-16.037,40.160,.574
185,.212554,.383616,184.000,-17.888,44.500,.348
186,.247518,.341387,185.000,-19.662,78.000,.977
187,.284743,.301138,186.000,-21.352,72.480,.800
188,.324118,.262990,187.000,-22.954,97.800,.803
189,.365525,.227057,188.000,-24.464,77.900,.961
190,.408838,.193447,189.000,-25.875,45.490,.884
191,.453929,.162261,190.000,-27.185,49.950,.262
192,.500661,.133594,191.000,-28.389,42.910,.343
193,.548893,.107530,192.000,-29.484,75.580,.580
194,.598482,.084149,193.000,-30.466,95.660,.988
195,.649277,.063521,194.000,-31.332,74.980,.437
196,.701127,.045707,195.000,-32.080,98.770,.587
197,.753874,.030762,196.000,-32.708,98.370,.406
198,.807362,.018730,197.000,-33.213,65.650,.546
199,.861429,.009648,198.000,-33.595,60.120,.286
200,.915912,.003542,199.000,-33.851,55.990,.567
201,.970648,.000431,200.000,-33.982,39.500,.580
202,1.025472,.000324,201.000,-33.986,57.170,.557
203,1.080219,.003223,202.000,-33.865,55.770,.774
204,1.134726,.009117,203.000,-33.617,32.140,.284
205,1.188827,.017990,204.000,-33.244,46.700,.665
206,1.242361,.029814,205.000,-32.748,91.810,.944
207,1.295167,.044554,206.000,-32.129,58.530,.643
208,1.347085,.062166,207.000,-31.389,76.120,.570
209,1.397960,.082597,208.000,-30.531,70.300,.953
210,1.447639,.105786,209.000,-29.557,51.530,.898
211,1.495973,.131662,210.000,-28.470,51.480,.495
212,1.542815,.160148,211.000,-27.274,97.570,.671
213,1.588026,.191158,212.000,-25.971,98.470,.500
214,1.631470,.224600,213.000,-24.567,59.780,.921
215,1.673016,.260372,214.000,-23.064,97.700,.337
216,1.712539,.298367,215.000,-21.469,49.340,.305
217,1.749920,.338471,216.000,-19.784,36.930,.917
218,1.785047,.380564,217.000,-18.016,73.800,.372
219,1.817815,.424518,218.000,-16.170,76.380,.429
220,1.848124,.470202,219.000,-14.252,96.280,.751
221,1.875884,.517479,220.000,-12.266,84.530,.672
222,1.901012,.566206,221.000,-10.219,60.430,.173
223,1.923431,.616236,222.000,-8.118,44.800,.456
224,1.943075,.667420,223.000,-5.968,73.710,.707
225,1.959884,.719604,224.000,-3.777,81.890,.357
226,1.973809,.772631,225.000,-1.550,66.530,.415
227,1.984806,.826340,226.000,.706,51.530,.538
228,1.992843,.880572,227.000,2.984,38.700,.567
229,1.997896,.935163,228.000,5.277,71.900,.206
230,1.999949,.989949,229.000,7.578,68.860,.515
231,1.998998,1.044765,230.000,9.880,90.760,.324
232,1.995043,1.099446,231.000,12.177,89.100,.929
233,1.988098,1.153829,232.000,14.461,55.930,.418
234,1.978182,1.207749,233.000,16.725,46.120,.156
235,1.965327,1.261045,234.000,18.964,45.620,.620
236,1.949570,1.313556,235.000,21.169,70.300,.390
237,1.930959,1.365124,236.000,23.335,77.470,.904
238,1.909550,1.415596,237.000,25.455,68.490,.786
239,1.885406,1.464818,238.000,27.522,76.180,.550
240,1.858602,1.512643,239.000,29.531,65.950,.413
241,1.829217,1.558927,240.000,31.475,54.780,.383
242,1.797340,1.603531,241.000,33.348,95.170,.225
243,1.763066,1.646321,242.000,35.145,80.680,.960
244,1.726498,1.687168,243.000,36.861,80.480,.260
245,1.687747,1.725950,244.000,38.490,67.190,.591
246,1.646929,1.762550,245.000,40.027,91.110,.701
329,1.648672,.238932,328.000,-23.965,61.430,.246
330,1.689406,.275625,329.000,-22.424,87.580,.505
331,1.728068,.314495,330.000,-20.791,54.630,.774
332,1.764542,.355426,331.000,-19.072,64.120,.121
333,1.798718,.398295,332.000,-17.272,70.610,.866
334,1.830494,.442972,333.000,-15.395,79.540,.278
335,1.859773,.489323,334.000,-13.448,81.200,.205
336,1.886467,.537209,335.000,-11.437,63.270,.162
337,1.910498,.586486,336.000,-9.368,83.460,.381
338,1.931792,.637006,337.000,-7.246,68.160,.852
339,1.950285,.688617,338.000,-5.078,49.330,.946
340,1.965921,.741164,339.000,-2.871,35.800,.145
341,1.978655,.794489,340.000,-.631,99.300,.999
342,1.988447,.848432,341.000,1.634,61.520,.885
343,1.995268,.902830,342.000,3.919,34.980,.336
344,1.999097,.957520,343.000,6.216,46.500,.864
345,1.999924,1.012338,344.000,8.518,51.740,.666
346,1.997745,1.067119,345.000,10.819,32.710,.803
347,1.992567,1.121699,346.000,13.111,88.520,.146
348,1.984406,1.175912,347.000,15.388,73.140,.200
349,1.973286,1.229597,348.000,17.643,78.900,.395
350,1.959240,1.282591,349.000,19.869,37.440,.900
351,1.942312,1.334736,350.000,22.059,44.130,.569
352,1.922551,1.385875,351.000,24.207,56.130,.403
353,1.900017,1.435855,352.000,26.306,91.710,.225
354,1.874778,1.484524,353.000,28.350,92.890,.977
355,1.846910,1.531737,354.000,30.333,35.300,.310
356,1.816496,1.577351,355.000,32.249,84.690,.595
357,1.783628,1.621230,356.000,34.092,99.140,.438
358,1.748405,1.663242,357.000,35.856,90.760,.749
359,1.710932,1.703261,358.000,37.537,63.400,.238
360,1.671322,1.741166,359.000,39.129,34.660,.280
361,1.629695,1.776843,360.000,40.627,81.560,.389
362,1.586175,1.810185,361.000,42.028,84.820,.888
363,1.540893,1.841092,362.000,43.326,68.770,.645
364,1.493985,1.869471,363.000,44.518,96.970,.644
365,1.445592,1.895236,364.000,45.600,45.510,.113
366,1.395860,1.918311,365.000,46.569,63.520,.374
367,1.344939,1.938625,366.000,47.422,37.920,.298
368,1.292980,1.956118,367.000,48.157,59.330,.860
369,1.240141,1.970738,368.000,48.771,66.200,.410
370,1.186580,1.982440,369.000,49.262,66.180,.473
371,1.132459,1.991189,370.000,49.630,94.960,.360
372,1.077939,1.996958,371.000,49.872,78.370,.565
373,1.023185,1.999731,372.000,49.989,45.410,.452
374,.968361,1.999499,373.000,49.979,75.450,.342
375,.913633,1.996263,374.000,49.843,46.100,.665
376,.859164,1.990033,375.000,49.581,40.410,.218
377,.805118,1.980827,376.000,49.195,49.460,.492
378,.751658,1.968672,377.000,48.684,71.950,.732
379,.698944,1.953607,378.000,48.051,41.260,.200
380,.647136,1.935675,379.000,47.298,98.190,.600
381,.596388,1.914930,380.000,46.427,32.760,.111
382,.546853,1.891436,381.000,45.440,72.900,.729
383,.498680,1.865262,382.000,44.341,57.980,.906
384,.452014,1.836487,383.000,43.132,46.910,.962
385,.406995,1.805199,384.000,41.818,64.650,.876
386,.363758,1.771490,385.000,40.403,71.270,.222
387,.322434,1.735462,386.000,38.889,74.950,.247
388,.283146,1.697224,387.000,37.283,58.950,.570
389,.246013,1.656890,388.000,35.589,32.350,.684
390,.211146,1.614581,389.000,33.812,57.360,.529
391,.178651,1.570425,390.000,31.958,39.990,.595
392,.148624,1.524555,391.000,30.031,74.420,.355
393,.121156,1.477108,392.000,28.039,63.000,.670
394,.096329,1.428228,393.000,25.986,91.730,.685
395,.074219,1.378060,394.000,23.879,78.540,.423
396,.054891,1.326755,395.000,21.724,61.790,.240
397,.038404,1.274469,396.000,19.528,82.200,.850
398,.024807,1.221357,397.000,17.297,61.880,.806
399,.014142,1.167581,398.000,15.038,71.700,.900
247,1.604166,1.796858,246.000,41.468,32.380,.323
248,1.559587,1.828771,247.000,42.808,36.150,.808
249,1.513327,1.858193,248.000,44.044,39.950,.603
250,1.465523,1.885036,249.000,45.171,50.780,.751
251,1.416320,1.909218,250.000,46.187,90.220,.805
252,1.365866,1.930667,251.000,47.088,78.540,.757
253,1.314313,1.949320,252.000,47.871,67.450,.304
254,1.261814,1.965118,253.000,48.535,55.240,.500
255,1.208529,1.978016,254.000,49.077,80.340,.470
256,1.154616,1.987975,255.000,49.495,50.710,.923
257,1.100239,1.994963,256.000,49.788,75.440,.992
258,1.045561,1.998962,257.000,49.956,55.600,.340
259,.990746,1.999957,258.000,49.998,78.150,.208
260,.935959,1.997947,259.000,49.914,77.170,.846
261,.881364,1.992938,260.000,49.703,44.410,.571
262,.827126,1.984944,261.000,49.368,68.610,.964
263,.773407,1.973989,262.000,48.908,37.480,.580
264,.720369,1.960108,263.000,48.325,52.130,.115
265,.668172,1.943340,264.000,47.620,67.230,.761
266,.616972,1.923737,265.000,46.797,34.120,.699
267,.566924,1.901357,266.000,45.857,65.250,.796
268,.518177,1.876269,267.000,44.803,46.560,.983
269,.470878,1.848546,268.000,43.639,44.970,.512
270,.425170,1.818273,269.000,42.367,41.810,.224
271,.381190,1.785541,270.000,40.993,48.330,.535
272,.339069,1.750447,271.000,39.519,88.170,.707
273,.298935,1.713098,272.000,37.950,83.000,.187
274,.260909,1.673605,273.000,36.291,35.200,.898
275,.225103,1.632088,274.000,34.548,39.550,.220
276,.191627,1.588671,275.000,32.724,92.740,.603
277,.160581,1.543484,276.000,30.826,77.800,.953
278,.132057,1.496665,277.000,28.860,46.790,.948
279,.106143,1.448352,278.000,26.831,97.270,.903
280,.082915,1.398691,279.000,24.745,55.430,.460
281,.062443,1.347833,280.000,22.609,37.100,.300
282,.044790,1.295928,281.000,20.429,47.200,.717
283,.030007,1.243135,282.000,18.212,94.400,.534
284,.018141,1.189610,283.000,15.964,78.740,.956
285,.009225,1.135516,284.000,13.692,76.610,.511
286,.003287,1.081014,285.000,11.403,45.870,.271
287,.000345,1.026269,286.000,9.103,61.330,.629
288,.000408,.971445,287.000,6.801,98.890,.654
289,.003475,.916706,288.000,4.502,54.500,.690
290,.009537,.862218,289.000,2.213,86.240,.891
291,.018577,.808144,290.000,-.058,59.320,.983
292,.030566,.754647,291.000,-2.305,92.350,.810
293,.045469,.701887,292.000,-4.521,40.700,.999
294,.063241,.650024,293.000,-6.699,82.960,.223
295,.083829,.599212,294.000,-8.833,38.950,.723
296,.107171,.549605,295.000,-10.917,46.600,.145
297,.133196,.501351,296.000,-12.943,89.950,.276
298,.161826,.454597,297.000,-14.907,83.770,.462
299,.192976,.409481,298.000,-16.802,53.220,.786
300,.226551,.366141,299.000,-18.622,58.390,.557
301,.262452,.324706,300.000,-20.362,47.330,.543
302,.300569,.285300,301.000,-22.017,55.610,.434
303,.340788,.248043,302.000,-23.582,52.110,.510
304,.382988,.213046,303.000,-25.052,48.810,.987
305,.427044,.180414,304.000,-26.423,90.600,.727
306,.472821,.150246,305.000,-27.690,50.780,.683
307,.520183,.122631,306.000,-28.849,34.280,.730
308,.568987,.097654,307.000,-29.899,62.920,.397
309,.619086,.075389,308.000,-30.834,93.310,.573
310,.670331,.055903,309.000,-31.652,95.760,.851
311,.722566,.039255,310.000,-32.351,97.450,.194
312,.775636,.025495,311.000,-32.929,54.700,.553
313,.829379,.014663,312.000,-33.384,54.830,.579
314,.883636,.006793,313.000,-33.715,86.170,.771
315,.938242,.001909,314.000,-33.920,55.500,.641
316,.993034,.000024,315.000,-33.999,63.790,.772
317,1.047846,.001145,316.000,-33.952,37.860,.223
318,1.102515,.005269,317.000,-33.779,92.570,.690
319,1.156876,.012382,318.000,-33.480,96.400,.448
320,1.210765,.022463,319.000,-33.057,98.380,.667
321,1.264021,.035483,320.000,-32.510,74.180,.676
322,1.316483,.051402,321.000,-31.841,94.730,.150
323,1.367994,.070172,322.000,-31.053,95.110,.632
324,1.418399,.091737,323.000,-30.147,64.950,.547
325,1.467547,.116032,324.000,-29.127,47.660,.903
326,1.515289,.142983,325.000,-27.995,66.450,.723
327,1.561482,.172511,326.000,-26.755,68.780,.273
328,1.605987,.204526,327.000,-25.410,95.440,.251
