id,latitude,longitude,altitude,pressure,temperature,humidity
48,-13.53479,141.38035,4771,24.35,78.55,0.161
49,-40.26539,144.38837,47408,37.24,68.46,0.129
50,65.57816,159.80264,52590,35.86,91.1,0.717
51,18.8909,-84.226,24159,19.48,73.44,0.479
52,83.95602,-91.44764,42523,26.2,32.96,0.65
53,-20.98096,-29.92633,38066,12.88,49.24,0.285
54,10.43364,12.5862,8413,47.93,74.84,0.985
55,-86.91091,-153.6651,37545,41.6,39.39,0.782
56,60.6518,-121.1401,25473,26.22,97.6,0.92
57,-83.6262,177.55395,2589,36.84,83.41,0.988
58,34.37072,-177.60409,224,49.69,90.2,0.268
59,24.36959,150.41028,46829,39.68,37.24,0.181
60,86.45623,-174.6618,31778,21.47,54.97,0.683
61,-9.45043,137.81625,49216,17.39,55.13,0.827
62,12.1723,-139.73649,16813,48.85,51.36,0.823
63,-66.51153,-130.25375,13088,27.33,41.92,0.583
64,50.7183,-24.63556,37509,29.88,48.66,0.94
65,56.81975,106.185,8977,13.49,80.92,0.23
66,-3.51256,52.80034,18938,34.59,46.2,0.95
67,28.26165,73.7906,2432,10.5,69.36,0.809
68,40.4249,-2.8779,35607,42.23,94.7,0.569
69,27.8081,140.5073,32035,16.52,41.6,0.189
70,-75.42707,-109.62319,36383,14.42,42.3,0.683
71,-60.41804,-52.91611,33559,11.97,57.12,0.151
72,-80.26192,-107.3826,12262,38.38,57.9,0.39
73,-5.23934,-149.36051,9349,14.38,57.77,0.2
74,-57.42202,133.48237,50986,30.43,77.19,0.967
75,1.49146,160.13276,11859,29.87,97.38,0.618
76,-76.6771,-107.44346,37416,33.31,44.73,0.353
77,-2.47588,-67.52211,6623,33.9,45.81,0.518
78,-26.82397,37.92359,25676,25.55,45.29,0.465
79,85.55986,53.85875,878,10.86,35.86,0.24
80,79.95135,104.1974,36946,47.39,61.35,0.81
81,-42.6292,-119.61892,50964,40.63,53.95,0.677
82,-84.82489,-151.35527,389,15.76,80.94,0.133
83,34.53032,-71.73933,24207,27.37,53.8,0.675
84,84.7095,11.23729,8435,12.54,94.89,0.624
85,-42.71072,115.45345,47254,27.1,61.55,0.511
86,-40.41567,-123.36864,16910,35.8,52.73,0.723
87,7.93491,161.5542,5786,32.76,83.35,0.311
88,53.62691,-12.60506,28586,12.6,69.5,0.506
89,-20.51066,-22.22874,13052,34.92,95.39,0.687
90,-36.5429,134.36647,46164,29.31,64.41,0.857
91,33.13893,70.69137,33126,17.69,39.64,0.12
92,74.1445,-53.90025,44909,32.68,37.81,0.189
93,79.7389,-26.37032,34990,30.86,46.87,0.608
94,68.53444,112.34784,24519,30.31,60.7,0.727
95,-79.30622,-14.8273,23412,12.17,70.8,0.477
96,74.21287,-114.60552,48498,13.12,72.1,0.703
97,28.49242,-123.11775,40691,46.52,35.57,0.284
98,-41.21641,176.86817,19294,48.2,69.64,0.846
99,-87.95916,-39.21659,10587,29.47,84.42,0.626
100,-55.6029,28.2166,35765,32.8,51.66,0.549
101,-64.51645,165.29698,5363,46.1,86.53,0.386
102,35.63638,-1.78582,12022,41.9,54.69,0.122
103,81.50197,-162.33328,25553,40.46,74.27,0.946
104,-36.98742,17.57088,41023,43.66,86.42,0.956
105,60.87736,19.9822,35886,25.15,72.24,0.463
106,-61.85201,166.77044,48337,34.35,59.66,0.663
107,-79.3806,-83.69094,10386,23.73,39.88,0.278
108,-10.67916,27.43201,37754,37.95,72.95,0.639
109,10.60805,-168.22,25679,45.58,65.2,0.125
110,-56.42997,120.42259,48293,47.67,57.86,0.754
111,-21.65144,137.36605,6588,35.38,54.15,0.515
112,42.65159,-172.95973,48320,24.86,48.29,0.261
113,79.54378,-174.48773,8779,22.68,41.75,0.235
114,53.58192,29.3633,794,44.37,85.34,0.924
115,-11.23657,74.6057,43865,32.4,53.5,0.573
116,-27.21289,-147.27796,52429,29.2,50.19,0.858
117,-18.58116,177.19903,49265,20.22,64.22,0.499
118,-32.11474,157.22171,40915,37.96,95.4,0.2
119,-24.7659,-21.28494,28510,15.34,95.77,0.752
120,-64.41504,78.98512,37595,43.41,33.32,0.726
121,-59.57745,-123.40761,33667,13.61,90.77,0.313
122,-24.5915,-75.98113,49270,21.41,42.57,0.69
123,-88.75234,148.20797,4418,48.1,74.9,0.582
124,22.15922,65.7686,32830,32.58,42.48,0.37
125,-65.27588,66.42159,36572,37.9,66.54,0.336
126,80.95085,-132.70654,32414,37.39,99.44,0.831
127,86.66592,175.31728,15786,36.64,49.13,0.41
128,15.633,167.56118,37989,33.26,84.69,0.343
129,-37.71658,136.75213,13401,26.5,50.8,0.156
130,64.1796,57.67436,26177,21.79,80.16,0.32
131,-72.37302,-19.46273,19087,43.9,81.34,0.167
132,23.5478,146.5581,38545,47.77,78.15,0.134
133,-60.37265,1.73346,37710,25.49,90.12,0.586
134,34.80538,29.35014,38890,42.85,93.24,0.96
135,71.53488,112.15213,4394,18.96,96.26,0.901
136,11.30896,61.44165,19981,15.27,89.37,0.471
137,76.68444,-80.2812,27482,37.3,87.28,0.478
138,-3.63903,91.43722,35868,17.72,40.87,0.35
139,42.34908,98.47257,22322,26.88,76.15,0.555
140,-16.8543,41.9688,27202,35.11,33.62,0.77
141,-51.69522,20.22411,42260,35.69,38.78,0.291
142,-36.5187,103.56613,20790,38.6,44.94,0.14
143,9.58212,79.85444,12348,34.79,54.18,0.117
144,86.3705,75.8587,39813,13.57,79.63,0.495
145,63.67789,-82.5126,8943,48.81,73.6,0.546
146,12.4795,-9.53568,12638,32.2,60.41,0.976
147,80.86459,-34.11548,14462,13.16,66.72,0.75
148,-13.1703,89.72408,21252,41.95,71.3,0.741
149,6.5902,92.2726,17806,33.65,34.37,0.14
150,81.45575,104.37375,3496,49.57,70.2,0.665
151,71.72817,-148.52178,26831,39.68,72.1,0.909
152,-14.50652,97.54701,8730,45.0,81.92,0.512
153,87.57349,66.15702,7574,44.7,33.42,0.25
154,-11.55018,105.7942,37923,34.64,82.11,0.52
155,-65.38829,-56.24305,33863,18.9,86.38,0.362
156,-42.902,-75.33959,44783,48.0,89.86,0.556
157,-79.50294,44.52288,34640,40.99,91.55,0.676
158,81.43009,137.61991,42145,34.6,67.66,0.974
159,-16.13879,-40.7246,8144,41.93,51.45,0.793
160,5.8307,179.26016,13605,28.21,91.6,0.997
161,-25.10542,-127.5924,19946,33.51,85.61,0.444
162,-39.51164,-114.66386,27402,48.63,63.0,0.822
163,-54.79122,179.37988,40310,19.66,67.6,0.454
164,-2.4172,-115.89266,50214,36.42,65.77,0.229
165,-19.35757,78.14155,27634,30.23,48.92,0.307
166,59.70917,-144.60954,12554,13.0,69.4,0.672
167,2.39776,18.95675,3287,25.9,48.2,0.191
168,-62.27326,2.37937,39365,18.42,83.7,0.967
169,76.7659,-115.86508,36609,18.84,69.2,0.432
170,31.63556,-32.51603,46830,27.15,48.3,0.773
171,-59.96665,173.79724,50398,34.62,80.12,0.904
172,58.2636,148.74021,34584,40.67,58.53,0.486
173,-10.27344,158.28796,49556,49.3,90.64,0.19
174,-69.94355,35.97772,25888,33.53,45.93,0.591
175,-10.1285,174.21102,33601,25.0,81.93,0.178
176,40.69452,64.22465,40628,28.23,47.38,0.382
177,87.89049,-129.40801,5107,25.89,37.5,0.11
178,29.11179,47.14435,44000,21.79,96.2,0.58
179,18.36,114.38239,18475,36.91,81.23,0.331
180,0.181,-72.94997,16999,22.62,33.28,0.845
181,27.3791,-86.35479,281,17.43,43.42,0.753
182,77.96071,61.6043,22993,11.1,96.17,0.158
183,18.67144,27.55904,9961,11.44,97.74,0.246
184,-57.23845,-134.3479,2875,32.3,71.45,0.893
185,56.41131,-41.86303,47260,24.25,59.42,0.623
186,-37.71026,-131.24768,38517,12.47,45.37,0.324
187,10.64287,-64.96994,31512,19.82,95.18,0.767
188,-89.55096,122.5746,7989,23.52,51.75,0.401
189,65.69463,70.89824,34619,35.19,34.53,0.643
190,-60.553,145.41479,23667,32.18,32.2,0.505
191,-4.21449,69.6623,26737,32.46,32.8,0.537
192,60.9447,-74.95255,46901,38.56,92.54,0.677
193,-50.88696,-159.53021,3935,16.61,72.2,0.332
194,51.3448,-26.6313,22786,28.89,39.77,0.979
195,70.89998,114.18701,21521,39.71,88.74,0.668
196,-34.98252,17.82095,30051,17.1,42.53,0.72
197,2.49559,-68.94208,4962,10.4,48.6,0.816
198,89.85388,60.10251,22511,12.36,95.81,0.307
199,-17.25795,-150.37477,50633,41.89,37.78,0.339
